Train Start,Train End,Val R2,Test R2,Validation Cumulative Return,Validation Sharpe Ratio,Test Sharpe,Test Return,Final Val Capital,Final Test Capital,Total Val Profit,Total Test Profit,Average PnL,Average PnL (%)
2006,2021-12-31,0.0975243408294084,0.0571870061509304,10.391990339009729,7.622800050524202,6.540599704369146,2.2881884926090645,11391990.339009726,3288188.492609065,10391990.339009726,2288188.492609065,4839.81657087235,0.4839816570872349
2007,2021-12-31,0.0855190425927292,0.0525314503541285,10.1885339897514,7.657283207870977,6.278370024700908,2.1832976888708635,11188533.9897514,3183297.6888708635,10188533.9897514,2183297.6888708635,4711.324650420062,0.4711324650420063
2008,2021-12-31,0.0737828465954516,0.0383825626243082,9.617804208462148,7.500603777839848,6.249898973117083,2.175771862653197,10617804.208462149,3175771.862653197,9617804.208462149,2175771.862653197,4702.1530261360385,0.4702153026136038
2009,2021-12-31,-0.0067019335870901,0.0100855810720026,8.59989436899018,7.050481068794048,6.395242529294686,2.199873594713414,9599894.36899018,3199873.5947134136,8599894.36899018,2199873.5947134136,4730.2951106330165,0.4730295110633016
2010,2021-12-31,-0.0148521828137655,0.0139913238429335,8.814570391240736,7.11428496460276,6.45818459354238,2.194389916842281,9814570.391240736,3194389.916842281,8814570.391240736,2194389.916842281,4721.915034926618,0.4721915034926618
2011,2021-12-31,-0.0165626889347869,0.0264251731245879,8.679879370276966,7.051470451344612,6.640396791587916,2.313029049392531,9679879.370276963,3313029.049392531,8679879.370276965,2313029.049392531,4868.882269215947,0.4868882269215947
2012,2021-12-31,-0.0207285124919369,0.0408652327394813,8.015863663372171,6.860843505527673,6.537864934173976,2.2530465952972283,9015863.66337217,3253046.595297228,8015863.663372171,2253046.595297228,4795.475312904186,0.4795475312904185
2013,2021-12-31,-0.0156312668987763,0.0763222040872777,7.893220620051039,7.1244412336241565,6.113375616572851,2.0690416104519285,8893220.62005104,3069041.6104519283,7893220.620051039,2069041.6104519288,4563.686032185299,0.4563686032185299
2014,2021-12-31,-0.0206136183500129,0.1111874436479187,6.801820767896314,6.417917621054316,6.881454570817116,2.4774562051973494,7801820.767896314,3477456.2051973497,6801820.767896314,2477456.2051973497,5064.113530893274,0.5064113530893274
2015,2021-12-31,-0.0053555288529902,0.0647181317660535,6.438581368270676,6.416315512556706,6.799874138772732,2.41772942341391,7438581.368270677,3417729.42341391,6438581.368270677,2417729.42341391,4994.194469495316,0.4994194469495316
2016,2021-12-31,-0.0056519763985198,0.0133322244195138,5.769044974252732,5.847679878550726,6.806991310040968,2.4184031937622383,6769044.974252732,3418403.193762238,5769044.974252732,2418403.193762238,4994.861854545396,0.4994861854545397
2017,2021-12-31,0.0162052911460833,0.0441378423289614,7.352897701391541,6.477979652605752,6.73391168505723,2.343727946829796,8352897.7013915405,3343727.9468297963,7352897.7013915405,2343727.9468297963,4905.128963185441,0.4905128963185441
2018,2021-12-31,0.0736684644067885,0.0760349353552269,7.882649613391463,6.736193236950774,6.8904210089426305,2.4562075331733304,8882649.613391463,3456207.5331733306,7882649.613391463,2456207.5331733306,5038.660230925885,0.5038660230925885
2019,2021-12-31,0.098727757504285,0.0715768919612876,8.821218520377979,7.190310395227197,6.967660839535733,2.5254120125092103,9821218.52037798,3525412.0125092105,8821218.520377979,2525412.0125092105,5118.993788869911,0.5118993788869912
2020,2021-12-31,0.1779793149796766,0.0099685771578534,8.039073878116554,6.8912411354170935,6.573185428600604,2.312549180267174,9039073.878116554,3312549.180267174,8039073.878116554,2312549.180267174,4869.638176136836,0.4869638176136835
2021,2021-12-31,-0.0883593752781704,-0.2553788923781261,2.497441020318838,3.711750240218748,3.488961106391066,0.9604978192235172,3497441.020318838,1960497.819223517,2497441.020318838,960497.8192235172,2771.752820689598,0.2771752820689598
