Date,Adj Close,Close,High,Low,Open,Volume
2023-11-28,4.960000038146973,4.960000038146973,5.010000228881836,4.659999847412109,4.929999828338623,331100
2023-11-29,4.900000095367432,4.900000095367432,5.139999866485596,4.809999942779541,5.050000190734863,313800
2023-11-30,4.800000190734863,4.800000190734863,5.099999904632568,4.78000020980835,4.96999979019165,173000
2023-12-01,4.659999847412109,4.659999847412109,4.849999904632568,4.570000171661377,4.849999904632568,148000
2023-12-04,4.639999866485596,4.639999866485596,4.699999809265137,4.320000171661377,4.650000095367432,408700
2023-12-05,4.559999942779541,4.559999942779541,4.659999847412109,4.360000133514404,4.659999847412109,171800
2023-12-06,4.550000190734863,4.550000190734863,4.610000133514404,4.460000038146973,4.519999980926514,108800
2023-12-07,4.75,4.75,4.789999961853027,4.5,4.539999961853027,279500
2023-12-08,4.78000020980835,4.78000020980835,4.880000114440918,4.699999809265137,4.75,111200
2023-12-11,4.659999847412109,4.659999847412109,4.840000152587891,4.579999923706055,4.760000228881836,85300
2023-12-12,4.679999828338623,4.679999828338623,4.760000228881836,4.579999923706055,4.639999866485596,71800
2023-12-13,4.71999979019165,4.71999979019165,4.78000020980835,4.590000152587891,4.739999771118164,103600
2023-12-14,4.78000020980835,4.78000020980835,4.849999904632568,4.630000114440918,4.800000190734863,148600
2023-12-15,4.869999885559082,4.869999885559082,4.880000114440918,4.659999847412109,4.75,241900
2023-12-18,4.699999809265137,4.699999809265137,4.900000095367432,4.699999809265137,4.860000133514404,74800
2023-12-19,4.71999979019165,4.71999979019165,4.789999961853027,4.619999885559082,4.789999961853027,208300
2023-12-20,4.730000019073486,4.730000019073486,4.75,4.679999828338623,4.75,70500
2023-12-21,4.78000020980835,4.78000020980835,4.78000020980835,4.699999809265137,4.75,99300
2023-12-22,4.96999979019165,4.96999979019165,4.989999771118164,4.71999979019165,4.800000190734863,279900
2023-12-26,5.090000152587891,5.090000152587891,5.300000190734863,4.909999847412109,5.0,1064000
2023-12-27,5.119999885559082,5.119999885559082,5.190000057220459,5.0,5.159999847412109,576400
2023-12-28,5.139999866485596,5.139999866485596,5.179999828338623,5.059999942779541,5.079999923706055,157700
2023-12-29,5.010000228881836,5.010000228881836,5.190000057220459,4.96999979019165,5.190000057220459,144600
2024-01-02,5.53000020980835,5.53000020980835,5.559999942779541,4.949999809265137,4.949999809265137,283900
2024-01-03,5.75,5.75,5.840000152587891,5.389999866485596,5.400000095367432,280900
2024-01-04,5.760000228881836,5.760000228881836,5.940000057220459,5.699999809265137,5.829999923706055,238900
2024-01-05,5.659999847412109,5.659999847412109,5.900000095367432,5.53000020980835,5.699999809265137,174000
2024-01-08,5.840000152587891,5.840000152587891,5.860000133514404,5.5,5.610000133514404,248800
2024-01-09,5.630000114440918,5.630000114440918,5.900000095367432,5.579999923706055,5.809999942779541,203300
2024-01-10,5.389999866485596,5.389999866485596,5.619999885559082,5.329999923706055,5.590000152587891,257900
2024-01-11,5.349999904632568,5.349999904632568,5.420000076293945,5.099999904632568,5.420000076293945,171000
2024-01-12,5.25,5.25,5.380000114440918,5.199999809265137,5.289999961853027,140300
2024-01-16,5.199999809265137,5.199999809265137,5.239999771118164,5.099999904632568,5.210000038146973,152800
2024-01-17,5.139999866485596,5.139999866485596,5.170000076293945,5.099999904632568,5.170000076293945,71700
2024-01-18,4.96999979019165,4.96999979019165,5.150000095367432,4.900000095367432,5.150000095367432,138800
2024-01-19,5.0,5.0,5.03000020980835,4.880000114440918,4.940000057220459,79100
2024-01-22,5.079999923706055,5.079999923706055,5.239999771118164,4.989999771118164,5.099999904632568,153600
2024-01-23,4.869999885559082,4.869999885559082,5.099999904632568,4.78000020980835,5.099999904632568,168100
2024-01-24,4.760000228881836,4.760000228881836,4.949999809265137,4.730000019073486,4.889999866485596,95800
2024-01-25,4.760000228881836,4.760000228881836,4.820000171661377,4.730000019073486,4.760000228881836,68000
2024-01-26,4.690000057220459,4.690000057220459,4.769999980926514,4.559999942779541,4.75,112800
2024-01-29,4.849999904632568,4.849999904632568,4.949999809265137,4.650000095367432,4.650000095367432,65600
2024-01-30,4.480000019073486,4.480000019073486,4.940000057220459,4.449999809265137,4.849999904632568,547300
2024-01-31,4.070000171661377,4.070000171661377,4.570000171661377,4.019999980926514,4.449999809265137,1057500
2024-02-01,4.300000190734863,4.300000190734863,4.449999809265137,4.03000020980835,4.349999904632568,455700
2024-02-02,4.420000076293945,4.420000076293945,4.46999979019165,4.130000114440918,4.239999771118164,160700
